"subject" "rater" "Y"
"1" 1 1 -0.125321031087587
"2" 1 2 0.694080975918602
"3" 1 3 -0.368876066478175
"4" 1 4 -0.833655028578844
"5" 2 1 -4.27382922804909
"6" 2 2 -0.993770439121384
"7" 2 3 -3.88050920508556
"8" 2 4 -1.58809464750922
"9" 3 1 -0.181439505624456
"10" 3 2 -0.0280556674667305
"11" 3 3 -0.950028810817587
"12" 3 4 1.54122300116989
"13" 4 1 -2.9215380085263
"14" 4 2 0.151956937528993
"15" 4 3 -3.51692550891129
"16" 4 4 -1.49063394451606
"17" 5 1 -0.61725835063498
"18" 5 2 1.49098984512434
"19" 5 3 -2.13046721832475
"20" 5 4 1.29906434774326
"21" 6 1 1.88685460739312
"22" 6 2 5.15576734341549
"23" 6 3 0.287907305910706
"24" 6 4 0.385458191565972
"25" 7 1 -2.40379815084066
"26" 7 2 -1.42678832352368
"27" 7 3 -2.21656439793174
"28" 7 4 -0.196440937993444
"29" 8 1 1.51508280073662
"30" 8 2 4.81631748902497
"31" 8 3 3.09336080978432
"32" 8 4 1.97288997516335
"33" 9 1 1.9293934642264
"34" 9 2 3.84299928118749
"35" 9 3 1.20604822717476
"36" 9 4 3.27812589869828
"37" 10 1 2.23764109062815
"38" 10 2 5.36465668950053
"39" 10 3 1.46869568807638
"40" 10 4 2.54745203283102
"41" 11 1 0.0451767285724022
"42" 11 2 1.92875290064514
"43" 11 3 -2.06472035013611
"44" 11 4 0.325882300877414
"45" 12 1 -1.76529371889657
"46" 12 2 2.05173495726232
"47" 12 3 0.405930933113508
"48" 12 4 0.180656015954094
"49" 13 1 -0.280339821460654
"50" 13 2 1.75553922350436
"51" 13 3 -1.26719652591285
"52" 13 4 0.891609743874074
"53" 14 1 -2.38623483227329
"54" 14 2 0.418207519237595
"55" 14 3 -2.94495857281964
"56" 14 4 -0.765471148020231
"57" 15 1 -0.400969094371875
"58" 15 2 2.49447736089684
"59" 15 3 0.354127776836003
"60" 15 4 1.38227787405968
"61" 16 1 1.60327986594001
"62" 16 2 1.89840415424319
"63" 16 3 -0.15786800319954
"64" 16 4 0.228741691355396
"65" 17 1 -1.37211917867408
"66" 17 2 1.09916474262554
"67" 17 3 -1.45415299427081
"68" 17 4 -1.87260090144668
"69" 18 1 2.89164266061133
"70" 18 2 3.23962915646413
"71" 18 3 1.03191377633467
"72" 18 4 2.92715965016437
"73" 19 1 -1.70007007698395
"74" 19 2 -1.56003576282959
"75" 19 3 -2.37812040205233
"76" 19 4 -3.22723599340994
"77" 20 1 -2.37155499814437
"78" 20 2 2.45357708327211
"79" 20 3 -0.522456922949823
"80" 20 4 -0.0817094929495902
"81" 21 1 2.32198718241113
"82" 22 1 4.97975829906016
"83" 23 1 0.0377188775437572
"84" 24 1 -2.85246726290817
"85" 25 1 -0.0113294269183619
"86" 26 1 5.20950220820404
"87" 27 1 -1.5043884554228
"88" 28 1 0.0553340355609082
"89" 29 1 -3.97487145209867
"90" 30 1 -1.14139318343316
"91" 31 1 -0.423956851932407
"92" 32 1 -3.12677281397907
"93" 33 1 -0.726895883862029
"94" 34 1 -0.299796507950314
"95" 35 1 -3.12598638249793
"96" 36 1 0.233831948795012
"97" 37 1 1.4012844344068
"98" 38 1 1.24426150126349
"99" 39 1 -1.37819885024168
"100" 40 1 -4.45204604998398
"101" 41 2 -0.207626090399309
"102" 42 2 -0.529336670899525
"103" 43 2 1.80469294944686
"104" 44 2 0.907695086138267
"105" 45 2 -0.508388095890573
"106" 46 2 3.11041321265429
"107" 47 2 3.08950206634587
"108" 48 2 2.61066344290973
"109" 49 2 3.04926655740457
"110" 50 2 1.84825623140412
"111" 51 2 3.14771905909639
"112" 52 2 1.93855811576111
"113" 53 2 -0.117438623894738
"114" 54 2 -0.589157090895102
"115" 55 2 0.160086546579692
"116" 56 2 2.81528314284826
"117" 57 2 0.0814010365850458
"118" 58 2 2.70519884398039
"119" 59 2 4.20278650702867
"120" 60 2 -2.9264953919039
"121" 61 3 2.2064812177175
"122" 62 3 -1.32819371138555
"123" 63 3 -2.46327745312174
"124" 64 3 -4.06476893826663
"125" 65 3 2.85066532709
"126" 66 3 0.781207414496389
"127" 67 3 -3.32832817834956
"128" 68 3 3.38819498596595
"129" 69 3 3.90525618478888
"130" 70 3 0.872164533122093
"131" 71 3 -1.75499414036689
"132" 72 3 0.0972953096350468
"133" 73 3 0.938597985120864
"134" 74 3 0.148938881459004
"135" 75 3 -2.9198106691378
"136" 76 3 -0.890555864994669
"137" 77 3 -3.05703126800368
"138" 78 3 -1.323070617757
"139" 79 3 -2.04897937118402
"140" 80 3 -0.705969218413027
"141" 81 4 -0.921879828711363
"142" 82 4 -1.47076965862633
"143" 83 4 2.75698025274976
"144" 84 4 2.55987474130051
"145" 85 4 -2.31232745373668
"146" 86 4 0.51431215750601
"147" 87 4 -1.52201823649961
"148" 88 4 -1.88860565740293
"149" 89 4 1.99304388127829
"150" 90 4 0.0820141612423172
"151" 91 4 -3.59572237719623
"152" 92 4 1.54906814144679
"153" 93 4 0.840375454717342
"154" 94 4 7.47779875387255
"155" 95 4 1.14545230942936
"156" 96 4 -0.586011040236201
"157" 97 4 -0.711719710915596
"158" 98 4 -1.03985855442162
"159" 99 4 -0.38891465766029
"160" 100 4 2.59162087785493
